Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Middlesex,Gloucs,Middlesex,30 runs,Radlett,"May 26, 2022",T20
Sussex,Glamorgan,Glamorgan,7 wickets,Hove,"May 26, 2022",T20
Gloucs,Sussex,Gloucs,41 runs,Bristol,"May 27, 2022",T20
Lancashire,Yorkshire,tied,-,Manchester,"May 27, 2022",T20
Northants,Durham,Northants,31 runs,Northampton,"May 27, 2022",T20
Notts,WORCS,Notts,4 wickets,Nottingham,"May 27, 2022",T20
Surrey,Glamorgan,Surrey,4 wickets,The Oval,"May 27, 2022",T20
Derbyshire,Bears,Bears,3 runs,Derby,"May 27, 2022",T20
Hampshire,Middlesex,Middlesex,10 runs,Southampton,"May 27, 2022",T20
Kent,Essex,Essex,4 wickets,Canterbury,"May 27, 2022",T20
Leics,Derbyshire,Derbyshire,70 runs,Leicester,"May 28, 2022",T20
Bears,Durham,Bears,5 wickets,Birmingham,"May 29, 2022",T20
Lancashire,WORCS,Lancashire,12 runs,Manchester,"May 29, 2022",T20
Middlesex,Glamorgan,Middlesex,4 wickets,Radlett,"May 29, 2022",T20
Sussex,Kent,Sussex,4 runs,Hove,"May 29, 2022",T20
Yorkshire,Leics,Leics,31 runs,Leeds,"May 29, 2022",T20
Somerset,Essex,Somerset,6 wickets,Taunton,"May 29, 2022",T20
Notts,Northants,no result,-,Nottingham,"May 30, 2022",T20
Hampshire,Somerset,Somerset,4 wickets,Southampton,"May 30, 2022",T20
Notts,Lancashire,Lancashire,87 runs,Nottingham,"May 31, 2022",T20
Surrey,Gloucs,Surrey,37 runs,The Oval,"May 31, 2022",T20
Yorkshire,Derbyshire,Derbyshire,9 wickets,Leeds,"May 31, 2022",T20
Essex,Hampshire,Essex,8 wickets,Chelmsford,"May 31, 2022",T20
Lancashire,Derbyshire,Lancashire,17 runs,Manchester,"Jun 1, 2022",T20
Durham,WORCS,Durham,48 runs,Chester-le-Street,"Jun 1, 2022",T20
Gloucs,Kent,Gloucs,6 wickets,Bristol,"Jun 1, 2022",T20
Northants,Leics,Northants,42 runs,Northampton,"Jun 1, 2022",T20
Somerset,Sussex,Sussex,47 runs,Taunton,"Jun 1, 2022",T20
Bears,Leics,Leics,5 runs,Birmingham,"Jun 2, 2022",T20
Glamorgan,Essex,Glamorgan,6 wickets,Cardiff,"Jun 2, 2022",T20
Surrey,Hampshire,Surrey,72 runs,The Oval,"Jun 2, 2022",T20
WORCS,Bears,WORCS,15 runs,Worcester,"Jun 3, 2022",T20
Lancashire,Northants,Lancashire,2 wickets,Manchester,"Jun 3, 2022",T20
Somerset,Glamorgan,Somerset,9 wickets,Taunton,"Jun 3, 2022",T20
Yorkshire,Durham,Yorkshire,6 wickets,Leeds,"Jun 3, 2022",T20
Derbyshire,Notts,Notts,7 wickets,Derby,"Jun 3, 2022",T20
Kent,Surrey,Surrey,32 runs,Canterbury,"Jun 3, 2022",T20
Sussex,Middlesex,Sussex,5 wickets,Hove,"Jun 3, 2022",T20
Hampshire,Sussex,Hampshire,22 runs,Southampton,"Jun 4, 2022",T20
Bears,Notts,Bears,1 run,Birmingham,"Jun 5, 2022",T20
Durham,Northants,Northants,4 wickets,Chester-le-Street,"Jun 5, 2022",T20
Glamorgan,Surrey,no result,-,Cardiff,"Jun 5, 2022",T20
Kent,Middlesex,Kent,55 runs,Canterbury,"Jun 5, 2022",T20
WORCS,Leics,Leics,26 runs,Worcester,"Jun 5, 2022",T20
Yorkshire,Notts,Yorkshire,23 runs,Leeds,"Jun 6, 2022",T20
Middlesex,Hampshire,Hampshire,9 wickets,Radlett,"Jun 7, 2022",T20
Glamorgan,Gloucs,Gloucs,5 wickets,Cardiff,"Jun 7, 2022",T20
Leics,Lancashire,Lancashire,7 wickets,Leicester,"Jun 7, 2022",T20
Northants,Derbyshire,Northants,5 wickets,Northampton,"Jun 7, 2022",T20
Essex,Kent,Essex,7 wickets,Chelmsford,"Jun 7, 2022",T20
Durham,Bears,Bears,6 wickets,Chester-le-Street,"Jun 8, 2022",T20
Surrey,Sussex,Surrey,7 wickets,The Oval,"Jun 8, 2022",T20
Yorkshire,Lancashire,Lancashire,4 runs,Leeds,"Jun 8, 2022",T20
Middlesex,Surrey,Surrey,20 runs,Lord's,"Jun 9, 2022",T20
Gloucs,Somerset,Somerset,3 wickets,Bristol,"Jun 9, 2022",T20
Northants,WORCS,Northants,73 runs,Northampton,"Jun 9, 2022",T20
Derbyshire,Leics,Derbyshire,6 wickets,Derby,"Jun 9, 2022",T20
Hampshire,Essex,Hampshire,32 runs,Southampton,"Jun 9, 2022",T20
WORCS,Derbyshire,Derbyshire,39 runs,Worcester,"Jun 10, 2022",T20
Bears,Yorkshire,Yorkshire,10 wickets,Birmingham,"Jun 10, 2022",T20
Durham,Lancashire,Durham,2 wickets,Chester-le-Street,"Jun 10, 2022",T20
Glamorgan,Hampshire,Hampshire,9 runs,Cardiff,"Jun 10, 2022",T20
Leics,Notts,Notts,5 wickets,Leicester,"Jun 10, 2022",T20
Somerset,Kent,Kent,32 runs,Taunton,"Jun 10, 2022",T20
Essex,Middlesex,Essex,61 runs,Chelmsford,"Jun 10, 2022",T20
Sussex,Gloucs,Gloucs,4 runs,Hove,"Jun 10, 2022",T20
Durham,Yorkshire,Yorkshire,65 runs,Chester-le-Street,"Jun 17, 2022",T20
Leics,WORCS,Leics,8 wickets,Leicester,"Jun 17, 2022",T20
Northants,Lancashire,Northants,7 wickets,Northampton,"Jun 17, 2022",T20
Notts,Bears,Bears,55 runs,Nottingham,"Jun 17, 2022",T20
Somerset,Gloucs,Somerset,7 runs,Taunton,"Jun 17, 2022",T20
Surrey,Middlesex,Surrey,7 wickets,The Oval,"Jun 17, 2022",T20
Essex,Sussex,Essex,11 runs,Chelmsford,"Jun 17, 2022",T20
Hampshire,Kent,Hampshire,54 runs,Southampton,"Jun 17, 2022",T20
Derbyshire,Yorkshire,Derbyshire,6 wickets,Chesterfield,"Jun 18, 2022",T20
WORCS,Northants,no result,-,Worcester,"Jun 18, 2022",T20
Gloucs,Glamorgan,no result,-,Bristol,"Jun 18, 2022",T20
Bears,Derbyshire,Derbyshire,7 wickets,Birmingham,"Jun 19, 2022",T20
Durham,Leics,Leics,51 runs,Chester-le-Street,"Jun 19, 2022",T20
Essex,Somerset,Somerset,8 wickets,Chelmsford,"Jun 19, 2022",T20
Glamorgan,Sussex,Glamorgan,4 wickets,Cardiff,"Jun 19, 2022",T20
Hampshire,Surrey,Surrey,4 wickets,Southampton,"Jun 19, 2022",T20
Lancashire,Notts,Lancashire,6 wickets,Blackpool,"Jun 19, 2022",T20
Middlesex,Kent,Middlesex,7 wickets,Lord's,"Jun 19, 2022",T20
Glamorgan,Middlesex,Glamorgan,8 wickets,Cardiff,"Jun 21, 2022",T20
Notts,Leics,Leics,47 runs,Nottingham,"Jun 21, 2022",T20
Surrey,Somerset,Surrey,3 wickets,The Oval,"Jun 21, 2022",T20
Derbyshire,Northants,Derbyshire,6 wickets,Derby,"Jun 21, 2022",T20
Kent,Gloucs,Gloucs,5 runs,Canterbury,"Jun 21, 2022",T20
Northants,Bears,Bears,6 wickets,Northampton,"Jun 22, 2022",T20
Middlesex,Essex,Essex,21 runs,Lord's,"Jun 23, 2022",T20
Lancashire,Durham,no result,-,Blackpool,"Jun 23, 2022",T20
Notts,Derbyshire,Notts,94 runs,Nottingham,"Jun 23, 2022",T20
WORCS,Yorkshire,Yorkshire,5 wickets,Worcester,"Jun 23, 2022",T20
Somerset,Hampshire,Hampshire,14 runs,Taunton,"Jun 23, 2022",T20
Sussex,Surrey,Sussex,17 runs,Hove,"Jun 23, 2022",T20
Bears,WORCS,Bears,144 runs,Birmingham,"Jun 24, 2022",T20
Durham,Notts,Notts,2 runs,Chester-le-Street,"Jun 24, 2022",T20
Glamorgan,Somerset,Somerset,16 runs,Cardiff,"Jun 24, 2022",T20
Gloucs,Hampshire,Hampshire,9 runs,Bristol,"Jun 24, 2022",T20
Northants,Yorkshire,Yorkshire,62 runs,Northampton,"Jun 24, 2022",T20
Derbyshire,Lancashire,Derbyshire,5 runs,Derby,"Jun 24, 2022",T20
Essex,Surrey,Essex,43 runs,Chelmsford,"Jun 24, 2022",T20
Kent,Sussex,Kent,6 wickets,Canterbury,"Jun 24, 2022",T20
WORCS,Lancashire,WORCS,29 runs,Worcester,"Jul 1, 2022",T20
Leics,Northants,Leics,1 run,Leicester,"Jul 1, 2022",T20
Middlesex,Somerset,Somerset,2 wickets,Lord's,"Jul 1, 2022",T20
Notts,Durham,Notts,4 wickets,Nottingham,"Jul 1, 2022",T20
Surrey,Kent,Surrey,4 wickets,The Oval,"Jul 1, 2022",T20
Yorkshire,Bears,Bears,31 runs,Leeds,"Jul 1, 2022",T20
Hampshire,Gloucs,Hampshire,15 runs,Southampton,"Jul 1, 2022",T20
Sussex,Essex,Essex,28 runs,Hove,"Jul 1, 2022",T20
Essex,Glamorgan,Essex,69 runs,Chelmsford,"Jul 2, 2022",T20
Derbyshire,Durham,Derbyshire,5 wickets,Derby,"Jul 3, 2022",T20
Gloucs,Middlesex,Gloucs,5 wickets,Bristol,"Jul 3, 2022",T20
Kent,Glamorgan,Glamorgan,35 runs,Canterbury,"Jul 3, 2022",T20
Leics,Yorkshire,Leics,60 runs,Leicester,"Jul 3, 2022",T20
WORCS,Notts,Notts,5 wickets,Worcester,"Jul 3, 2022",T20
Lancashire,Bears,Lancashire,2 wickets,Manchester,"Jul 3, 2022",T20
Somerset,Surrey,Somerset,47 runs,Taunton,"Jul 3, 2022",T20
Sussex,Hampshire,Hampshire,5 wickets,Hove,"Jul 3, 2022",T20
Surrey,Yorkshire,Yorkshire,1 run,The Oval,"Jul 6, 2022",T20
Bears,Hampshire,Hampshire,104 runs,Birmingham,"Jul 7, 2022",T20
Lancashire,Essex,Lancashire,7 wickets,Manchester,"Jul 8, 2022",T20
Somerset,Derbyshire,Somerset,191 runs,Taunton,"Jul 9, 2022",T20
Yorkshire,Lancashire,Lancashire,6 wickets,Birmingham,"Jul 16, 2022",T20
Hampshire,Somerset,Hampshire,37 runs,Birmingham,"Jul 16, 2022",T20
Lancashire,Hampshire,Hampshire,1 run,Birmingham,"Jul 16, 2022",T20
