Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Glamorgan,Hampshire,Glamorgan,8 wickets,Cardiff,"Aug 10, 2018",T20
Derbyshire,Leics,no result,-,Derby,"Aug 11, 2018",T20
Durham,Lancashire,Lancashire,65 runs,Chester-le-Street,"Aug 12, 2018",T20
Gloucs,Surrey,Gloucs,5 runs,Bristol,"Aug 12, 2018",T20
Hampshire,Essex,no result,-,Southampton,"Aug 12, 2018",T20
Somerset,Glamorgan,Somerset,29 runs,Taunton,"Aug 12, 2018",T20
WORCS,Notts,Notts,5 wickets,Worcester,"Aug 12, 2018",T20
Kent,Middlesex,Kent,3 wickets,Beckenham,"Aug 12, 2018",T20
Sussex,Glamorgan,Sussex,98 runs,Hove,"Aug 14, 2018",T20
Surrey,Hampshire,Surrey,7 wickets,The Oval,"Aug 15, 2018",T20
Bears,Lancashire,Bears,7 wickets,Birmingham,"Aug 15, 2018",T20
Middlesex,Essex,Essex,6 wickets,Lord's,"Aug 16, 2018",T20
Gloucs,Sussex,Sussex,4 wickets,Bristol,"Aug 16, 2018",T20
Northants,Yorkshire,Yorkshire,7 wickets,Northampton,"Aug 16, 2018",T20
Kent,Somerset,Kent,5 runs,Canterbury,"Aug 16, 2018",T20
Bears,WORCS,WORCS,15 runs,Birmingham,"Aug 17, 2018",T20
Essex,Kent,Kent,5 wickets,Chelmsford,"Aug 17, 2018",T20
Glamorgan,Surrey,Surrey,24 runs,Cardiff,"Aug 17, 2018",T20
Hampshire,Gloucs,Hampshire,6 wickets,Southampton,"Aug 17, 2018",T20
Leics,Northants,Northants,4 wickets,Leicester,"Aug 17, 2018",T20
Sussex,Middlesex,Sussex,31 runs,Hove,"Aug 17, 2018",T20
Yorkshire,Notts,Notts,8 wickets,Leeds,"Aug 17, 2018",T20
Kent,Lancashire,Lancashire,6 wickets,Canterbury,"Aug 23, 2018",T20
Durham,Sussex,Sussex,5 wickets,Chester-le-Street,"Aug 24, 2018",T20
WORCS,Gloucs,WORCS,5 wickets,Worcester,"Aug 25, 2018",T20
Somerset,Notts,Somerset,19 runs,Taunton,"Aug 26-27, 2018",T20
WORCS,Lancashire,WORCS,20 runs,Birmingham,"Sep 15, 2018",T20
Sussex,Somerset,Sussex,35 runs,Birmingham,"Sep 15, 2018",T20
WORCS,Sussex,WORCS,5 wickets,Birmingham,"Sep 15, 2018",T20
Middlesex,Essex,Middlesex,7 wickets,Lord's,"Jul 18, 2019",T20
Glamorgan,Somerset,Somerset,8 wickets,Cardiff,"Jul 18, 2019",T20
Notts,WORCS,WORCS,28 runs,Nottingham,"Jul 18, 2019",T20
Gloucs,Glamorgan,no result,-,Cheltenham,"Jul 19, 2019",T20
Durham,Northants,Durham,7 runs,Chester-le-Street,"Jul 19, 2019",T20
Leics,Lancashire,no result,-,Leicester,"Jul 19, 2019",T20
Essex,Surrey,Essex,52 runs,Chelmsford,"Jul 19, 2019",T20
Hampshire,Sussex,no result,-,Southampton,"Jul 19, 2019",T20
Derbyshire,Yorkshire,Derbyshire,5 wickets,Chesterfield,"Jul 20, 2019",T20
Kent,Somerset,Kent,41 runs,Canterbury,"Jul 20, 2019",T20
Bears,Leics,Bears,7 wickets,Birmingham,"Jul 21, 2019",T20
Hampshire,Kent,Kent,2 wickets,Southampton,"Jul 21, 2019",T20
Lancashire,Durham,Lancashire,72 runs,Manchester,"Jul 21, 2019",T20
Leics,Yorkshire,Yorkshire,54 runs,Leicester,"Jul 23, 2019",T20
Surrey,Middlesex,Middlesex,37 runs,The Oval,"Jul 23, 2019",T20
Notts,Northants,Notts,7 wickets,Nottingham,"Jul 24, 2019",T20
Bears,Derbyshire,Bears,49 runs,Birmingham,"Jul 24, 2019",T20
Sussex,Hampshire,Sussex,14 runs,Hove,"Jul 24, 2019",T20
Gloucs,Middlesex,Gloucs,2 wickets,Cheltenham,"Jul 25, 2019",T20
Surrey,Glamorgan,Surrey,97 runs,The Oval,"Jul 25, 2019",T20
Yorkshire,Lancashire,Lancashire,9 runs,Leeds,"Jul 25, 2019",T20
Glamorgan,Middlesex,Middlesex,8 wickets,Cardiff,"Jul 26, 2019",T20
Lancashire,WORCS,Lancashire,21 runs,Manchester,"Jul 26, 2019",T20
Leics,Durham,Durham,9 wickets,Leicester,"Jul 26, 2019",T20
Northants,Bears,Northants,21 runs,Northampton,"Jul 26, 2019",T20
Somerset,Hampshire,Hampshire,4 wickets,Taunton,"Jul 26, 2019",T20
Derbyshire,Notts,Notts,27 runs,Derby,"Jul 26, 2019",T20
Kent,Essex,Kent,22 runs,Canterbury,"Jul 26, 2019",T20
Sussex,Surrey,tied,-,Hove,"Jul 26, 2019",T20
Notts,Leics,Leics,21 runs,Nottingham,"Jul 27, 2019",T20
Somerset,Sussex,Sussex,13 runs,Taunton,"Jul 28, 2019",T20
WORCS,Durham,WORCS,9 wickets,Worcester,"Jul 28, 2019",T20
Surrey,Kent,Kent,9 wickets,The Oval,"Jul 30, 2019",T20
WORCS,Derbyshire,WORCS,2 wickets,Worcester,"Jul 31, 2019",T20
Durham,Leics,Durham,8 wickets,Chester-le-Street,"Jul 31, 2019",T20
Middlesex,Kent,Kent,28 runs,Lord's,"Aug 1, 2019",T20
Essex,Hampshire,Hampshire,7 wickets,Chelmsford,"Aug 1, 2019",T20
Glamorgan,Gloucs,tied,-,Cardiff,"Aug 1, 2019",T20
Durham,Lancashire,Lancashire,5 wickets,Chester-le-Street,"Aug 2, 2019",T20
Gloucs,Essex,Essex,25 runs,Bristol,"Aug 2, 2019",T20
Notts,Bears,Notts,71 runs,Nottingham,"Aug 2, 2019",T20
Somerset,Surrey,Somerset,8 wickets,Taunton,"Aug 2, 2019",T20
Yorkshire,WORCS,WORCS,5 wickets,Leeds,"Aug 2, 2019",T20
Hampshire,Glamorgan,Hampshire,41 runs,Southampton,"Aug 2, 2019",T20
